1827,1710,2000
1834,1721,2000
1840,1732,2000
1847,1743,2000
1854,1754,2000
1860,1765,2000
1866,1776,2000
1872,1787,2000
1877,1798,2000
1883,1809,2000
1885,1810,2000
1886,1810,2000
1888,1811,2000
1889,1812,2000
1891,1813,2000
1893,1814,2000
1894,1815,2000
1896,1816,2000
1897,1817,2000
1899,1818,2000
1902,1818,2000
1904,1818,2000
1906,1818,2000
1909,1819,2000
1911,1819,2000
1914,1819,2000
1916,1820,2000
1919,1820,2000
1921,1820,2000
1924,1821,2000
1924,1818,2000
1925,1816,2000
1925,1814,2000
1926,1812,2000
1926,1810,2000
1927,1807,2000
1927,1805,2000
1927,1803,2000
1928,1801,2000
1928,1799,2000
1923,1789,2000
1918,1780,2000
1912,1770,2000
1907,1761,2000
1901,1751,2000
1895,1742,2000
1889,1733,2000
1883,1723,2000
1877,1714,2000
1871,1704,2000
1870,1703,2000
1870,1701,2000
1869,1700,2000
1869,1698,2000
1869,1696,2000
1868,1695,2000
1868,1693,2000
1867,1692,2000
1867,1690,2000
1866,1688,2000
1869,1688,2000
1871,1687,2000
1874,1687,2000
1876,1687,2000
1879,1686,2000
1881,1686,2000
1884,1685,2000
1886,1685,2000
1889,1685,2000
1892,1684,2000
1893,1686,2000
1894,1687,2000
1896,1688,2000
1897,1689,2000
1899,1690,2000
1900,1691,2000
1902,1692,2000
1903,1693,2000
1905,1694,2000
1906,1695,2000
1915,1706,2000
1923,1717,2000
1931,1728,2000
1938,1739,2000
1946,1750,2000
352,-839,2000
1960,1772,2000
1967,1783,2000
1974,1794,2000
1980,1805,1000
1962,1788,1000
1943,1772,1000
1924,1756,1000
1905,1740,1000
1886,1725,1000
1867,1709,1000
1847,1694,1000
1828,1680,1000
1808,1665,1000
1789,1651,2000
1796,1648,2000
1804,1646,2000
1812,1644,2000
1819,1642,2000
1827,1640,2000
1834,1639,2000
1842,1637,2000
1849,1636,2000
1857,1635,2000
1865,1634,2000
1861,1634,2000
1858,1635,2000
1854,1635,2000
1851,1636,2000
1847,1636,2000
1844,1637,2000
1840,1638,2000
1837,1638,2000
1833,1639,2000
1830,1640,2000
1827,1637,2000
1825,1634,2000
1822,1631,2000
1820,1628,2000
1818,1625,2000
1815,1622,2000
1813,1619,2000
1810,1616,2000
1808,1613,2000
1805,1610,2000
1807,1607,2000
1809,1604,2000
1810,1600,2000
1812,1597,2000
1814,1594,2000
1815,1591,2000
1817,1588,2000
1818,1586,2000
1820,1583,2000
1821,1580,2000
1819,1582,2000
1818,1585,2000
1816,1587,2000
1815,1590,2000
1813,1592,2000
1812,1595,2000
1810,1597,2000
1808,1600,2000
1807,1603,2000
1805,1605,2000
1798,1604,2000
1792,1602,2000
1785,1601,2000
1779,1600,2000
1772,1598,2000
1766,1597,2000
1759,1596,2000
1753,1595,2000
1746,1594,2000
1740,1593,1000
1738,1590,1000
1736,1587,1000
1734,1584,1000
1732,1581,1000
1731,1578,1000
1729,1575,1000
1727,1572,1000
1725,1568,1000
1723,1565,1000
1721,1562,2000
1724,1561,2000
1728,1560,2000
1732,1559,2000
1735,1558,2000
1739,1557,2000
1742,1557,2000
1746,1556,2000
1750,1555,2000
1753,1554,2000
1757,1554,2000
1749,1545,2000
1741,1536,2000
1733,1528,2000
1725,1519,2000
1717,1510,2000
1709,1502,2000
1701,1493,2000
1693,1484,2000
1684,1476,2000
1676,1467,2000
1673,1468,2000
1670,1470,2000
1666,1471,2000
1663,1472,2000
1660,1473,2000
1656,1475,2000
1653,1476,2000
1650,1477,2000
1646,1479,2000
1643,1480,2000
1649,1477,2000
1655,1473,2000
1660,1470,2000
1666,1467,2000
1671,1464,2000
1677,1461,2000
1682,1458,2000
1687,1456,2000
1693,1453,2000
1698,1451,2000
1706,1459,2000
1714,1468,2000
1722,1476,2000
1731,1484,2000
1739,1492,2000
1747,1501,2000
1754,1509,2000
1762,1517,2000
1770,1525,2000
1778,1533,1000
1761,1524,1000
1744,1514,1000
1728,1505,1000
1711,1497,1000
1695,1488,1000
1679,1480,1000
1663,1473,1000
1647,1465,1000
1631,1458,1000
1615,1452,1000
1620,1447,1000
1625,1442,1000
1629,1437,1000
1634,1432,1000
1638,1427,1000
1642,1423,1000
1646,1418,1000
1650,1414,1000
1654,1410,1000
1657,1406,2000
1653,1409,2000
1648,1412,2000
1643,1415,2000
1638,1418,2000
1633,1422,2000
1627,1425,2000
1622,1429,2000
1616,1433,2000
1611,1437,2000
1605,1441,2000
1598,1434,2000
1592,1428,2000
1585,1421,2000
1578,1414,2000
1571,1408,2000
1565,1401,2000
1558,1394,2000
1551,1388,2000
1544,1381,2000
1537,1375,2000
1537,1373,2000
1536,1370,2000
1535,1368,2000
1534,1366,2000
1533,1364,2000
1533,1362,2000
1532,1360,2000
1531,1358,2000
1530,1356,2000
1529,1354,2000
1533,1350,2000
1536,1346,2000
1540,1342,2000
1543,1338,2000
1547,1334,2000
1550,1330,2000
1553,1326,2000
1556,1323,2000
1559,1319,2000
1562,1316,1000
1550,1306,1000
1539,1295,1000
1528,1285,1000
1517,1275,1000
1506,1264,1000
1494,1254,1000
1483,1244,1000
1472,1234,1000
1461,1224,1000
1450,1214,2000
1457,1221,2000
1465,1228,2000
1472,1234,2000
1479,1241,2000
1487,1248,2000
1494,1255,2000
1502,1262,2000
1509,1269,2000
1516,1275,2000
1524,1282,2000
1521,1286,2000
1519,1290,2000
1516,1294,2000
1513,1298,2000
1510,1303,2000
1507,1307,2000
1504,1311,2000
1501,1315,2000
1498,1320,2000
1494,1324,2000
1487,1318,2000
1480,1312,2000
1473,1305,2000
1466,1299,2000
1459,1292,2000
1452,1286,2000
1445,1280,2000
1437,1273,2000
1430,1267,2000
1423,1261,2000
1430,1266,2000
1436,1271,2000
1443,1276,2000
1450,1282,2000
1456,1287,2000
1463,1292,2000
1470,1298,2000
1476,1303,2000
1483,1308,2000
1490,1314,2000
1491,1312,2000
1493,1311,2000
1495,1309,2000
1497,1308,2000
1498,1306,2000
1500,1305,2000
1502,1303,2000
1503,1302,2000
1505,1300,2000
1506,1299,2000
1499,1292,2000
1492,1286,2000
1485,1279,2000
1478,1273,2000
1471,1267,2000
1464,1260,2000
1457,1254,2000
1450,1248,2000
1443,1241,2000
1436,1235,1000
1430,1234,1000
1425,1234,1000
1419,1233,1000
1414,1232,1000
1408,1232,1000
1402,1232,1000
1397,1231,1000
1391,1231,1000
1385,1231,1000
1380,1231,2000
1367,1221,2000
1355,1211,2000
1342,1201,2000
1330,1191,2000
1317,1182,2000
1305,1173,2000
1292,1163,2000
1280,1155,2000
1267,1146,2000
1255,1137,2000
1261,1141,2000
1268,1145,2000
1274,1150,2000
1281,1154,2000
1288,1158,2000
1294,1163,2000
1301,1167,2000
1307,1172,2000
1314,1176,2000
1320,1181,2000
1322,1173,2000
1324,1166,2000
1326,1158,2000
1328,1151,2000
1329,1144,2000
1331,1136,2000
1332,1129,2000
1333,1122,2000
1333,1114,2000
1334,1107,1000
1403,1178,1000
1472,1250,1000
1537,1323,1000
1600,1395,1000
1657,1466,1000
1709,1536,1000
1754,1605,1000
1792,1674,1000
1821,1744,1000
1843,1817,2000
1827,1784,2000
1809,1751,2000
1790,1719,2000
